# binary flg: 0=None; 1=Good; 2=Saturated; 4=Blended; 8=Poor S/N
 QSO        Galaxy flgH HI_wrest HIvmn HIvmx flgL mtl_wr  L_vmn L_vmx
J0226+0015  268_22  1  1215.6701     0. 300.  0    0.        0.   0.
J0401-0540   67_24  1   972.5368  -200. 120.  1  977.020  -150. 100.
J0803+4332  306_20  1  1025.7223  -200. 150.  1  977.020  -125. 100.
J0910+1014   34_46  2  1215.6701  -350. 350.  1 1206.500  -200.  40.
J0910+1014  242_34  2   972.5368  -350. 350.  1  977.020  -240. 200.
J0914+2823   41_27  1   949.7431  -200. 150.  1 1206.500  -100.  75.
J0925+4004  196_22  2   949.7431  -120. 250.  2 1083.990  -100. 200.
J0928+6025  110_35  2  1025.7223  -300. 250.  2 1302.1685 -220. 120.
#J0935+0204   15_28 ## NOTHING DETECTED 
J0943+0531  106_34  1   972.5368    25. 325.  1 1206.500   100. 250.
J0943+0531  216_61  1  1025.7223  -225.  50.  0    0.        0.   0.
J0943+0531  227_19  1   937.8035   150. 600.  2  977.020     0. 500.
J0950+4831  177_27  2   972.5368  -300. 200.  1 1083.990  -200.  50. 
J1009+0713  204_17  2  1025.7223  -200. 150.  1 1206.500  -150.  80.
J1009+0713   170_9  2   919.3514  -200. 200.  1 1083.990  -100. 280.
J1016+4706   274_6  2   937.8035  -100. 400.  1 1036.3367  -80. 250.
J1016+4706  359_16  2  1025.7223  -250. 200.  1 1036.3367 -175. 100.
J1112+3539  236_14  1   949.7431  -150. 200.  1 1206.500  -125. 120.
J1133+0327   110_5  2   923.1504     0. 500.  1 1260.4221   50. 500.
J1133+0327  164_21  2  1025.7223  -300. 100.  0    0.        0.   0.
J1157-0022   230_7  2  1215.6701  -100. 220.  0    0.        0.   0.
J1220+3853  225_38  1   972.5368  -400. 200.  2  977.020  -160. 130.
J1233+4758   94_38  2   930.7483  -200. 150.  1 1036.3367 -200. 100.
J1233-0031   168_7  1   949.7431  -200. 200.  1 1206.500   -80. 100. 
J1241+5721   199_6  2   972.5368  -200. 250.  1 1122.526   -90. 150.
J1241+5721  208_27  1   949.7431  -150. 200.  1 1206.500   -20.  90.
J1245+3356  236_36  1   972.5368  -125. 125.  1  977.020  -100. 100.
J1322+4645  349_11  2   949.7431  -100. 270.  1  989.799  -100. 200.
J1330+2813  289_28  2   972.5368  -170. 260.  1 1206.500  -120. 170.
J1342-0053  157_10  2   949.7431  -200. 300.  1 1039.2304  -50. 200.
#J1342-0053   77_10  ## NOTHING DETECTED
J1419+4207  132_30  10  972.5368  -200.  50.  1 1206.500  -200.  50.
J1435+3604  126_21  1   972.5368  -150. 150.  1 1206.500     0. 125.
J1435+3604   68_12  12  972.5368  -150. 350.  1 1144.9379   20. 150.
J1437+5045  317_38  2  1215.6701  -200. 200.  0    0.        0.   0.
J1445+3428  232_33  1   972.5368     0. 220.  0    0.        0.   0.
J1514+3619  287_14  2  1215.6701  -350. 150.  1 2803.531   -80. -20.
#  ;; Ignored extra Lya abs at >150km/s
J1550+4001  197_23  1   920.9631  -120. 150.  1 1206.500  -125. 120.
#J1550+4001   97_33  ## ONLY VERY WEAK Lya. Treating as non-detection
#J1553+3548 ## NO GALAXY?
J1555+3628   88_11  2   972.5368  -250. 150.  1  989.799  -220.  70. 
#J1617+0638  253_39  ## NOTHING DETECTED (very noisy)
J1619+3342  113_40  1  1025.7223  -200. 135.  0    0.        0.   0.
#  ;; Only high-ions detected (SiIV, CIV, OVI)
#J2257+1340  270_40  ## NOTHING DETECTED
J2345-0059  356_12  1   937.8035  -200. 200.  2  977.020  -100. 150.
