# The first column is the distance (in kpc) and the the 6th, 7th and 8th 
#is the median profile followed by the
#90% and 10% percent percentiles. Keep in mind that it is only a milky 
#way like halo, so the positions of the sub-structures
#for example do not have any meaning.
        r_kpc     n1            n2          n3             n4          n_e         ne_90          ne_10        X1          X2              X3
      3.03747  8.17986e-05  3.86662e-05  0.000105256      248080.    0.0115046   0.00593153    0.0142926      3.11973   0.00189280      40815.5
      3.20658  6.22909e-05  4.23972e-05  9.05406e-05      210865.   0.00993070   0.00657436    0.0148696      3.29342   0.00172481      36624.0
      3.38510  5.99678e-05  2.68065e-05  0.000108608      130350.   0.00882864   0.00467844    0.0145864      3.47677   0.00161877      23900.4
      3.57356  5.18962e-05  3.57093e-05  7.17050e-05      193894.   0.00794031   0.00549367    0.0108931      3.67034   0.00153694      37530.5
      3.77251  4.40178e-05  3.16103e-05  6.92821e-05      164806.   0.00768033   0.00551685   0.00995697      3.87468   0.00156939      33676.4
      3.98253  3.39096e-05  2.58321e-05  5.48176e-05      120072.   0.00582682   0.00450837   0.00814614      4.09039   0.00125693      25901.2
      4.20425  3.54341e-05  2.27038e-05  4.62322e-05      127574.   0.00546819   0.00396242   0.00727407      4.31811   0.00124524      29051.6
      4.43832  2.44354e-05  1.45238e-05  7.26285e-05      36145.3   0.00426460   0.00253480    0.0103331      4.55852   0.00102522      8689.42
      4.68541  2.12520e-05  7.74714e-06  4.58010e-05      116748.   0.00370851   0.00135209   0.00686709      4.81230  0.000941167      29628.9
      4.94626  2.19788e-05  1.46556e-05  3.74202e-05      88787.7   0.00383589   0.00255781   0.00576633      5.08022   0.00102770      23787.7
      5.22163  2.45518e-05  1.55088e-05  5.21263e-05      93226.1   0.00428495   0.00270670   0.00767651      5.36305   0.00121191      26367.2
      5.51234  1.71559e-05  1.15367e-05  3.78903e-05      64147.0   0.00299417   0.00201347   0.00576613      5.66163  0.000893991      19152.9
      5.81923  1.60638e-05  1.08217e-05  2.43318e-05      70560.8   0.00267849   0.00188868   0.00407207      5.97683  0.000844258      22240.7
      6.14320  1.65109e-05  6.87161e-06  2.70642e-05      40892.6   0.00288160   0.00119928   0.00472328      6.30957  0.000958844      13606.9
      6.48521  1.24767e-05  7.68509e-06  1.76436e-05      55612.8   0.00217752   0.00134126   0.00307926      6.66085  0.000764906      19535.3
      6.84626  1.08117e-05  8.02103e-06  1.57477e-05      45300.7   0.00188694   0.00139989   0.00273866      7.03167  0.000699732      16798.8
      7.22741  1.12467e-05  6.99059e-06  1.86456e-05      45201.3   0.00196286   0.00122005   0.00325416      7.42315  0.000768410      17695.2
      7.62978  1.05420e-05  6.42563e-06  1.72308e-05      45535.4   0.00183986   0.00112145   0.00300717      7.83642  0.000760357      18818.4
      8.05456  8.38396e-06  6.38019e-06  1.20901e-05      38704.6   0.00146323   0.00111352   0.00211005      8.27269  0.000638371      16885.9
      8.50298  8.29830e-06  6.21477e-06  1.11429e-05      42150.8   0.00144828   0.00108465   0.00194466      8.73326  0.000667030      19413.3
      8.97636  7.13743e-06  5.89155e-06  1.08803e-05      25341.6   0.00124568   0.00102824   0.00189890      9.21947  0.000605654      12321.2
      9.47611  6.32246e-06  4.81158e-06  1.13506e-05      28224.7   0.00110344  0.000839752   0.00198099      9.73274  0.000566371      14487.1
      10.0037  6.71975e-06  4.96864e-06  1.06424e-05      35985.9   0.00117278  0.000867164   0.00185739      10.2746  0.000635473      19499.0
      10.5606  5.56254e-06  4.88715e-06  7.93746e-06      28441.2  0.000970815  0.000852941   0.00138530      10.8466  0.000555320      16268.8
      11.1485  5.45735e-06  4.57955e-06  8.68380e-06      25542.8  0.000952456  0.000799256   0.00151554      11.4505  0.000575156      15424.4
      11.7692  5.24033e-06  4.35164e-06  7.20398e-06      23261.9  0.000914581  0.000759480   0.00125729      12.0880  0.000583029      14829.0
      12.4244  4.94285e-06  4.13643e-06  6.54107e-06      28340.4  0.000862663  0.000721921   0.00114159      12.7609  0.000580546      19072.2
      13.1161  4.76745e-06  3.98796e-06  5.93516e-06      19887.3  0.000832050  0.000696008   0.00103585      13.4714  0.000591120      14128.7
      13.8464  4.45505e-06  3.86470e-06  5.24876e-06      23332.2  0.000777527  0.000674495  0.000916052      14.2214  0.000583139      17498.9
      14.6172  4.19424e-06  3.60473e-06  5.16057e-06      19224.8  0.000732010  0.000629124  0.000900660      15.0131  0.000579569      15221.2
      15.4310  4.11290e-06  3.56948e-06  4.79055e-06      19093.1  0.000717814  0.000622971  0.000836082      15.8489  0.000599966      15958.4
      16.2901  3.91206e-06  3.31589e-06  4.49077e-06      19884.0  0.000682760  0.000578714  0.000783761      16.7313  0.000602436      17544.8
      17.1970  3.74557e-06  3.15111e-06  4.33881e-06      18019.5  0.000653704  0.000549955  0.000757241      17.6628  0.000608913      16784.8
      18.1544  3.84082e-06  3.09893e-06   0.00154023      24611.8  0.000670328  0.000540847     0.268590      18.6461  0.000659160      24201.8
      19.1652  3.44881e-06  3.03134e-06  0.000735992      18585.2  0.000601911  0.000529051    0.0582114      19.6842  0.000624838      19293.1
      20.2321  3.29544e-06  2.81363e-06  3.67451e-06      15415.7  0.000575144  0.000491055  0.000641301      20.7801  0.000630288      16893.7
      21.3585  3.05980e-06  2.70228e-06  3.48131e-06      14270.8  0.000534019  0.000471621  0.000607584      21.9370  0.000617797      16509.6
      22.5476  3.02861e-06  2.64148e-06  3.46974e-06      14390.5  0.000528575  0.000461010  0.000605564      23.1583  0.000645546      17575.1
      23.8029  2.88171e-06  2.53355e-06  3.21230e-06      14434.4  0.000502937  0.000442174  0.000560634      24.4475  0.000648432      18610.1
      25.1281  2.78199e-06  2.38128e-06  3.29690e-06      13902.2  0.000485534  0.000415598  0.000575399      25.8086  0.000660847      18921.9
      26.5270  2.71469e-06  2.33315e-06  3.27474e-06      13475.8  0.000473787  0.000407198  0.000571532      27.2455  0.000680757      19362.6
      28.0039  2.58494e-06  2.18962e-06  2.95538e-06      12432.8  0.000451142  0.000382148  0.000515794      28.7623  0.000684305      18858.4
      29.5629  2.51454e-06  2.11844e-06  2.89406e-06      11766.3  0.000438856  0.000369725  0.000505092      30.3636  0.000702733      18841.2
      31.2088  2.36907e-06  1.98220e-06  2.77148e-06      11560.6  0.000413468  0.000345949  0.000483698      32.0540  0.000698944      19542.5
      32.9463  2.30857e-06  1.88489e-06  2.70174e-06      11381.6  0.000402908  0.000328964  0.000471527      33.8386  0.000719007      20311.0
      34.7805  2.17719e-06  1.78953e-06  2.58646e-06      10605.6  0.000379979  0.000312322  0.000451408      35.7224  0.000715840      19979.8
      36.7168  2.12031e-06  1.72892e-06   0.00118432      12257.9  0.000370052  0.000301744     0.206160      37.7112  0.000735946      24378.1
      38.7610  1.94716e-06  1.60557e-06  0.000662040      10419.0  0.000339832  0.000280216    0.0545258      39.8107  0.000713475      21874.6
      40.9189  1.85659e-06  1.52424e-06   0.00136713      10848.6  0.000324026  0.000266021     0.238282      42.0271  0.000718168      24044.6
      43.1970  1.68969e-06  1.40870e-06  0.000187765      8970.23  0.000294896  0.000245857    0.0227603      44.3669  0.000689991      20988.3
      45.6019  1.55799e-06  1.32421e-06  1.88311e-06      7717.89  0.000271911  0.000231111  0.000328653      46.8369  0.000671630      19063.5
      48.1407  1.46217e-06  1.26808e-06  1.74557e-06      7041.65  0.000255189  0.000221314  0.000304650      49.4445  0.000665414      18361.4
      50.8208  1.37423e-06  1.18129e-06  1.63894e-06      6755.66  0.000239841  0.000206168  0.000286039      52.1972  0.000660215      18596.4
      53.6502  1.30098e-06  1.12385e-06  1.56897e-06      6274.21  0.000227057  0.000196142  0.000273828      55.1032  0.000659824      18232.8
      56.6370  1.24599e-06  1.06478e-06  3.04547e-05      6654.89  0.000217460  0.000185834   0.00464144      58.1709  0.000667114      20415.6
      59.7902  1.15128e-06  9.94740e-07  1.36126e-06      5712.73  0.000200929  0.000173609  0.000237577      61.4095  0.000650720      18501.0
      63.1189  1.07882e-06  9.25005e-07  1.28250e-06      5290.57  0.000188284  0.000161439  0.000223830      64.8283  0.000643710      18087.5
      66.6329  1.01362e-06  8.59531e-07  1.20544e-06      4845.08  0.000176905  0.000150011  0.000210382      68.4375  0.000638482      17486.8
      70.3425  9.48041e-07  8.02034e-07  1.21118e-06      4880.88  0.000165459  0.000139977  0.000211384      72.2476  0.000630422      18596.9
      74.2587  8.65840e-07  7.37126e-07  1.06470e-06      4296.89  0.000151113  0.000128649  0.000185820      76.2699  0.000607811      17283.1
      78.3929  8.04999e-07  6.78898e-07  9.76119e-07      3952.75  0.000140494  0.000118486  0.000170359      80.5160  0.000596562      16784.0
      82.7573  7.45812e-07  6.30619e-07  9.08718e-07      3614.07  0.000130164  0.000110060  0.000158596      84.9986  0.000583468      16200.2
      87.3647  6.88945e-07  5.86701e-07  8.39892e-07      3360.03  0.000120240  0.000102395  0.000146584      89.7307  0.000568992      15900.2
      92.2285  6.42765e-07  5.46268e-07  8.00801e-07      3154.91  0.000112180  9.53387e-05  0.000139762      94.7263  0.000560404      15760.6
      97.3632  5.95190e-07  5.02564e-07  7.48505e-07      2907.63  0.000103877  8.77110e-05  0.000130634      100.000  0.000547815      15333.9
      102.784  5.54332e-07  4.60979e-07  7.01025e-07      2685.64  9.67461e-05  8.04535e-05  0.000122348      105.567  0.000538617      14951.8
      108.506  5.13985e-07  4.18667e-07  6.45629e-07      2459.91  8.97044e-05  7.30687e-05  0.000112679      111.445  0.000527212      14457.4
      114.547  4.73267e-07  3.83276e-07  5.84341e-07      2270.89  8.25978e-05  6.68920e-05  0.000101983      117.649  0.000512471      14089.6
      120.924  4.33121e-07  3.47777e-07  6.25967e-07      2194.73  7.55913e-05  6.06966e-05  0.000109248      124.199  0.000495116      14375.3
      127.656  3.85295e-07  3.09135e-07  4.76810e-07      1840.27  6.72445e-05  5.39526e-05  8.32163e-05      131.113  0.000464966      12724.6
      134.763  3.50592e-07  2.80333e-07  4.48196e-07      1695.93  6.11877e-05  4.89258e-05  7.82221e-05      138.413  0.000446636      12379.4
      142.266  3.17894e-07  2.51150e-07  4.29432e-07      1533.26  5.54811e-05  4.38324e-05  7.49468e-05      146.119  0.000427531      11815.2
      150.186  2.91558e-07  2.25347e-07  4.33690e-07      1449.18  5.08847e-05  3.93291e-05  7.56907e-05      154.254  0.000413938      11788.8
      158.547  2.65818e-07  2.02784e-07  4.00131e-07      1308.06  4.63925e-05  3.53912e-05  6.98336e-05      162.841  0.000398406      11233.3
      167.374  2.53052e-07  1.88094e-07  2.25866e-05      1321.58  4.41644e-05  3.28275e-05   0.00350039      171.907  0.000400390      11981.3
      176.692  2.31048e-07  1.71423e-07  4.87306e-07      1156.21  4.03240e-05  2.99179e-05  8.50468e-05      181.478  0.000385923      11065.6
      186.529  2.10606e-07  1.56724e-07  3.42146e-07      1031.42  3.67564e-05  2.73526e-05  5.97125e-05      191.581  0.000371368      10421.0
      196.914  1.92584e-07  1.41402e-07  3.22385e-07      942.479  3.36111e-05  2.46785e-05  5.62627e-05      202.247  0.000358491      10052.3
      207.877  1.75423e-07  1.28104e-07  3.33387e-07      860.165  3.06160e-05  2.23576e-05  5.81169e-05      213.507  0.000344725      9685.15
      219.450  1.56870e-07  1.16435e-07  2.66356e-07      760.699  2.73780e-05  2.03211e-05  4.64858e-05      225.393  0.000325435      9042.24
      231.668  1.41173e-07  1.03844e-07  2.55614e-07      694.559  2.46384e-05  1.81236e-05  4.46099e-05      237.942  0.000309169      8715.50
      244.565  1.25176e-07  9.13075e-08  2.09071e-07      606.941  2.18465e-05  1.59356e-05  3.64874e-05      251.189  0.000289401      8040.15
      258.181  1.11987e-07  8.09665e-08  1.84369e-07      534.397  1.95446e-05  1.41308e-05  3.21772e-05      265.173  0.000273318      7473.20
      272.555  1.01833e-07  7.24625e-08  1.75704e-07      488.426  1.77726e-05  1.26467e-05  3.06644e-05      279.936  0.000262375      7210.58
      287.728  9.20577e-08  6.54961e-08  1.59633e-07      438.037  1.60665e-05  1.14308e-05  2.78600e-05      295.521  0.000250395      6826.79
      303.747  8.08718e-08  5.90946e-08  1.36396e-07      390.182  1.41142e-05  1.03136e-05  2.38027e-05      311.973  0.000232214      6419.44
      320.658  7.23816e-08  5.27803e-08  1.26701e-07      346.380  1.26324e-05  9.21159e-06  2.21125e-05      329.342  0.000219407      6016.11
      338.510  6.46736e-08  4.64735e-08  1.07665e-07      306.993  1.12872e-05  8.11089e-06  1.87903e-05      347.677  0.000206955      5628.83
      357.355  5.80843e-08  4.13201e-08  9.26370e-08      272.664  1.01372e-05  7.21146e-06  1.61671e-05      367.033  0.000196217      5277.73
      377.250  5.14603e-08  3.62731e-08  8.08812e-08      242.263  8.98094e-06  6.33062e-06  1.41089e-05      387.468  0.000183518      4950.44
      398.253  4.53478e-08  3.19951e-08  7.12116e-08      213.785  7.91435e-06  5.58401e-06  1.24280e-05      409.039  0.000170723      4611.63
      420.425  3.96379e-08  2.80201e-08  6.11915e-08      185.682  6.91780e-06  4.89025e-06  1.06784e-05      431.811  0.000157536      4228.45
      443.832  3.43389e-08  2.39250e-08  5.44581e-08      161.015  5.99300e-06  4.17553e-06  9.50328e-06      455.852  0.000144072      3870.82
      468.541  3.01695e-08  2.04814e-08  5.19007e-08      141.743  5.26529e-06  3.57455e-06  9.05412e-06      481.230  0.000133625      3597.23
      494.626  2.66061e-08  1.80154e-08  4.57327e-08      86.1770  4.64328e-06  3.14415e-06  7.97609e-06      508.022  0.000124401      2308.83
      522.163      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      536.305      0.00000      0.00000
      551.234      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      566.163      0.00000      0.00000
      581.922      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      597.682      0.00000      0.00000
