Pair subsys v_lobound v_upbound HIcol HIcolhierr HIcolloerr CIIcol CIIcolerr 1334EW 1334EWerr CII*col CII*colerr 1335EW 1335EWerr CIVcol CIVcolerr 1548EW 1548EWerr 1550EW 1550EWerr NIcol NIcolerr 1134EW 1134EWerr 1199EW 1199EWerr NIIcol NIIcolerr 1083EW 1083EWerr NVcol NVcolerr 1238EW 1238EWerr 1242EW 1242EWerr OIcol OIcolerr 1302EW 1302EWerr OVIcol OVIcolerr 1037EW 1037EWerr MgIcol MgIcolerr 2852EW 2852EWerr MgIIcol MgIIcolerr 2796EW 2796EWerr 2803EW 2803EWerr AlIIcol AlIIcolerr 1670EW 1670EWerr AlIIIcol AlIIIcolerr 1854EW 1854EWerr 1862EW 1862EWerr SiIIcol SiIIcolerr 1190EW 1190EWerr 1193EW 1193EWerr 1304EW 1304EWerr 1260EW 1260EWerr 1526EW 1526EWerr 1808E 1808EWerr SiII*col SiII*colerr 1264EW 1264EWerr SiIIIcol SiIIIcolerr 1206EW 1206EWerr SiIVcol SiIVcolerr 1393EW 1393EWerr 1402EW 1402EWerr FeIIcol FeIIcolerr 1608EW 1608EWerr 2344EW 2344EWerr 2374EW 2374EWerr 2382EW 2382EWerr 2586EW 2586EWerr 2600EW 2600EWerr FeIIIcol FeIIIcolerr 1122EW 122EWerr logU logUhierr logUloerr logavgU logavgUlim logxHI lognEUVB lognQSO logne lognelim linsize linsizelim MH MHhierr MHloerr OH OHhierr OHloerr SiH SiHhierr SiHloerr FeH FeHhierr FeHloerr CH CHhierr CHloerr
J0225+0048 A -362 88 17.5 1.0 1.0  13.66 uplim  0.000  0.030  13.70 uplim  0.005  0.030  14.07 0.03  0.419  0.025 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  12.55 uplim / / / / / /  0.028  0.016 -0.028  0.025 / / / / / / / / / /  12.94 uplim  0.038  0.026  0.080  0.025 / / / / / / / / / / / / / / / / / / -1.8 lolim lolim -2.0 lolim -3.4 -3.6 -0.8 / / / / -1.5 1.0 1.0 / / / -1.5 1.0 1.0 / / / -2.8 9.8 1.1
J0225+0048 B 88 498 16.9 1.0 1.0  13.62 uplim  0.024  0.027  13.67 uplim  0.065  0.027  14.28 0.02  0.609  0.023 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  12.54 uplim / / / / / /  0.036  0.016  0.004  0.024 / / / / / / / / / /  13.39 0.05  0.184  0.024  0.121  0.024 / / / / / / / / / / / / / / / / / / -2.3 0.8 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J0225+0048 C 498 827 17.5 0.8 0.8  13.58 uplim  0.042  0.024  13.63 uplim  0.028  0.025  13.69 0.10 / /  0.091  0.022 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  12.48 uplim / / / / / / -0.016  0.014  0.032  0.021 / / / / / / / / / /  12.86 uplim  0.032  0.021  0.041  0.022 / / / / / / / / / / / / / / / / / / -2.2 lolim lolim N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J0341+0000 A -500 200 14.2 0.2 0.2  14.00 uplim  0.146  0.028  13.69 uplim  0.006  0.029  13.28 uplim -0.003  0.026  0.029  0.026 / / / / / / / / / /  13.54 uplim  0.038  0.024 / / / / / / / / / / / / / / / / / / / /  12.18 uplim  0.031  0.023 / / / / / /  13.42 uplim / / / / / / / / -0.033  0.023 / / / / / / / / / / / / / / / /  13.62 uplim  0.035  0.018 / / / / / / / / / / / / / / / / / / / / / / / / / / -1.5 1.0 1.0 / / / / / / / / / / / /
J0409-0411 A -300 400 14.2 0.2 0.2  13.97 uplim  0.156  0.038 / / / /  13.31 uplim -0.033  0.028  0.024  0.029 / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  12.26 uplim -0.050  0.029 / / / / / /  13.48 uplim / / / / / / / / -0.005  0.026 / / / / / / / / / / / / / / / /  14.12 uplim  0.128  0.027 / / / / / / / / / / / / / / / / / / / / / / / / / / -1.5 1.0 1.0 / / / / / / / / / / / /
J0853-0011 A -274 -60 16.8 0.6 0.6  13.89 0.03  0.139  0.010 / / / /  13.45 0.04  0.118  0.010  0.035  0.010 / / / / / / / / / /  13.90 uplim / /  0.080  0.010  13.36 uplim  0.016  0.006 / / / / / / / / / / / / / /  12.08 0.07  0.053  0.008  12.33 uplim  0.005  0.012  0.039  0.013  13.26 0.02 / /  0.101  0.010 / /  0.201  0.008  0.060  0.009  0.036  0.010 / / / /  13.30 lolim  0.315  0.008  12.72 0.07  0.037  0.009  0.039  0.008  12.67 uplim -0.006  0.009  0.004  0.030  0.013  0.023 -0.012  0.026  0.084  0.026  0.013  0.035  13.90 uplim  0.046  0.011 -3.2 0.5 0.3 -3.3 / -1.2 -2.2  0.5 / / / / -1.5 1.0 1.0 -0.6 0.2 0.2 -1.0 0.3 0.6 -1.4 0.2 0.6 -1.4 lolim lolim
J0853-0011 B -60 203 18.6 0.2 0.6  14.40 lolim  0.345  0.011 / / / /  13.24 0.06  0.064  0.011  0.044  0.011 / / / / / / / / / /  14.07 uplim / /  0.119  0.011  14.68 0.01  0.287  0.005 / / / / / / / / / / / / / /  12.58 0.03  0.156  0.009  12.38 uplim  0.000  0.013  0.049  0.013  13.91 0.02 / /  0.278  0.010  0.132  0.006  0.304  0.008  0.152  0.009  0.038  0.010 / / / /  13.58 lolim  0.443  0.009  12.81 0.06  0.056  0.009  0.028  0.009  13.10 0.04  0.025  0.009  0.083  0.022  0.018  0.026  0.129  0.028  0.079  0.020  0.166  0.022 / / / / -3.4 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J0853-0011 C 203 379 18.2 0.3 0.6  14.10 0.02  0.195  0.009  13.24 uplim  0.011  0.010  12.90 0.12  0.031  0.009  0.019  0.009 / / / / / / / / / /  13.88 uplim / /  0.076  0.009  14.31 0.02  0.135  0.005  14.07 uplim  0.014  0.024 / / / / / / / / / /  12.34 0.04  0.092  0.008  12.27 uplim -0.006  0.010  0.010  0.010  13.65 0.03 / /  0.139  0.008  0.065  0.005 / /  0.093  0.009  0.005  0.008 / / / /  13.18 lolim  0.232  0.007  12.97 0.04  0.089  0.007  0.022  0.007  12.90 0.06  0.017  0.007  0.096  0.025  0.020  0.020  0.126  0.023  0.032  0.017  0.075  0.023  13.68 uplim  0.006  0.009 -3.1 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
J0932+0925 A -245 307 15.5 0.4 0.4  13.72 0.11  0.100  0.025  13.62 uplim  0.069  0.025  13.62 0.06  0.159  0.023  0.786  0.022 / / / / / / / / / /  15.36 uplim / /  1.004  0.026 / / / / / / / / / / / / / / / / / /  12.07 uplim  0.005  0.018  12.61 uplim -0.005  0.022  0.072  0.030  13.40 uplim / / / / / / / /  0.063  0.020  0.013  0.018 / / / /  13.31 0.03  0.350  0.020  13.23 0.05  0.145  0.018  0.002  0.019  13.04 uplim  0.210  0.018  0.156  0.040  0.215  0.046  0.167  0.054  0.061  0.049  0.128  0.056 / / / / -2.7 0.3 0.3 -2.4 / -2.8 -3.1 -0.4 / / / / -1.5 1.0 1.0 / / /  0.1 0.4 0.4 / / / -0.0 0.7 0.8
J0932+0925 B 307 675 15.1 0.3 0.3  13.52 uplim  0.048  0.022  13.57 uplim  0.059  0.022  14.56 0.02  0.755  0.017  0.537  0.018 / / / / / / / / / /  14.25 uplim / /  0.178  0.024 / / / / / / / / / / / / / / / / / /  11.98 uplim -0.003  0.015  12.54 uplim  0.014  0.019  0.012  0.020  13.27 uplim / / / / / / / / -0.002  0.016  0.008  0.015 / / / /  13.10 0.04  0.212  0.019  13.06 0.07  0.098  0.015  0.008  0.016  12.90 uplim  0.104  0.015  0.021  0.041  0.080  0.041  0.184  0.042  0.030  0.035 -0.005  0.039 / / / / -2.1 0.3 0.3 N/A N/A N/A N/A N/A / / / / N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A
