Name                       RA         DEC         ZEM    ZABS    NHI
SDSSJ004054.65-091526.8  10.227708  -9.2574444  4.980  4.7395  20.30
SDSSJ012509.42-104300.8  21.289250  -10.716889  4.498  4.1888  20.60
SDSSJ023137.65-072854.4  37.906875  -7.4817778  5.420  4.8836  20.50
SDSSJ075907.57+180054.7  119.78154   18.015194  4.820  4.6576  20.75
SDSSJ080023.01+305101.1  120.09588   30.850306  4.676  4.0985  21.05
SDSSJ082454.02+130217.0  126.22508   13.038056  5.207  4.4720  20.30
SDSSJ082454.02+130217.0  126.22508   13.038056  5.207  4.8305  20.75
SDSSJ085430.37+205650.8  133.62654   20.947444  5.179  4.4227  21.05
SDSSJ091316.55+591921.6  138.31896   59.322667  5.122  4.7945  20.45
SDSSJ094108.36+594725.7  145.28483   59.790472  4.852  3.9790  20.35
SDSSJ100416.12+434739.0  151.06717   43.794167  4.872  4.4596  20.75
SDSSJ102332.07+633508.0  155.88362   63.585556  4.872  4.2580  20.50
SDSSJ105445.43+163337.4  163.68929   16.560389  5.154  4.8165  20.70
SDSSJ105445.43+163337.4  163.68929   16.560389  5.154  4.8233  20.50
SDSSJ110045.23+112239.1  165.18846   11.377528  4.728  4.3954  21.65
SDSSJ110134.36+053133.8  165.39317   5.5260556  5.045  4.3441  21.35
SDSSJ113246.50+120901.6  173.19375   12.150444  5.180  4.3801  21.15
SDSSJ113246.50+120901.6  173.19375   12.150444  5.180  5.0165  20.70
SDSSJ120036.72+461850.2  180.15300   46.313944  4.741  4.4767  20.45
SDSSJ120110.31+211758.5  180.29296   21.299583  4.579  3.7961  21.25
SDSSJ120110.31+211758.5  180.29296   21.299583  4.579  4.1579  20.50
SDSSJ120207.78+323538.8  180.53242   32.594111  5.298  4.7956  21.10
SDSSJ122146.42+444528.0  185.44342   44.757778  5.203  4.8106  20.75
SDSSJ122146.42+444528.0  185.44342   44.757778  5.203  4.9311  20.55
SDSSJ124515.46+382247.5  191.31442   38.379861  4.963  4.4467  20.45
SDSSJ130152.55+221012.1  195.46896   22.170028  4.805  4.2130  20.45
SDSSJ130917.12+165758.5  197.32133   16.966250  4.714  3.9387  21.10
SDSSJ133250.08+465108.6  203.20867   46.852389  4.844  4.3027  20.52
SDSSJ133412.56+122020.7  203.55233   12.339083  5.130  4.7636  20.35
SDSSJ133728.81+415539.8  204.37004   41.927722  5.018  4.3480  20.52
SDSSJ134015.03+392630.7  205.06262   39.441861  5.048  4.8258  21.20
SDSSJ141209.96+062406.9  213.04150   6.4019167  4.411  4.1093  20.35
SDSSJ142025.75+615510.0  215.10729   61.919444  4.448  4.1140  20.65
SDSSJ142705.86+330817.9  216.77442   33.138306  4.703  4.0929  20.30
SDSSJ143605.00+213239.2  219.02083   21.544222  5.227  4.5218  20.60
SDSSJ143751.82+232313.3  219.46592   23.387028  5.320  4.8007  21.20
SDSSJ143835.95+431459.2  219.64979   43.249778  4.686  4.3989  20.80
SDSSJ144331.17+272436.7  220.87988   27.410194  4.424  4.2237  20.95
SDSSJ151155.98+040802.9  227.98325   4.1341389  4.679  4.0885  21.51
SDSSJ152404.23+134417.5  231.01763   13.738194  4.788  4.3043  21.08
SDSSJ153247.41+223704.1  233.19754   22.617806  4.434  3.8175  20.38
SDSSJ160734.22+160417.4  241.89258   16.071500  4.786  4.4740  20.40
SDSSJ161425.13+464028.9  243.60471   46.674694  5.313  4.9091  21.00
SDSSJ162626.50+275132.4  246.61042   27.859000  5.265  4.3105  21.30
SDSSJ162626.50+275132.4  246.61042   27.859000  5.265  4.4973  21.05
SDSSJ162629.19+285857.5  246.62163   28.982639  5.035  4.6067  20.55
SDSSJ163411.82+215325.0  248.54925   21.890278  4.587  4.0825  20.55
SDSSJ173744.87+582829.6  264.43696   58.474889  4.905  4.7424  20.80
SDSSJ225246.43+142525.8  343.19346   14.423833  4.881  4.7475  20.55
