# Table 5: Redshift limits used to calculate the redshift search path
# for DLAs for each QSO.  Columns give the QSO name, the start and end
# redshifts for the DLA search, and the QSO redshift.
 Name                     RA          DEC        Z_START Z_END  ZEM
SDSSJ001115.23+144601.8  2.8134583   14.767167  4.037  4.870  4.970
SDSSJ004054.65-091526.8  10.227708  -9.2574444  4.046  4.880  4.980
SDSSJ010619.24+004823.3  16.580167   0.8064722  3.598  4.358  4.449
SDSSJ012509.42-104300.8  21.289250  -10.716889  3.639  4.406  4.498
SDSSJ021043.16-001818.4  32.679833  -0.3051111  3.868  4.674  4.770
SDSSJ023137.65-072854.4  37.906875  -7.4817778  4.417  5.313  5.420
SDSSJ033119.66-074143.1  52.831917  -7.6953056  3.838  4.638  4.734
SDSSJ033829.30+002156.2  54.622083   0.3656111  4.096  4.939  5.040
SDSSJ073103.12+445949.4  112.76300   44.997056  4.061  4.898  4.998
SDSSJ075907.57+180054.7  119.78154   18.015194  3.911  4.723  4.820
SDSSJ080023.01+305101.1  120.09588   30.850306  3.789  4.581  4.676
SDSSJ080715.11+132805.1  121.81296   13.468083  3.961  4.782  4.880
SDSSJ081806.87+071920.2  124.52862   7.3222778  3.746  4.531  4.625
SDSSJ082212.34+160436.9  125.55142   16.076917  3.649  4.418  4.510
SDSSJ082454.02+130217.0  126.22508   13.038056  4.237  5.103  5.207
SDSSJ083655.80+064104.6  129.23250   6.6846111  3.586  4.344  4.435
SDSSJ083920.53+352459.3  129.83554   35.416472  3.880  4.688  4.784
SDSSJ084627.84+080051.7  131.61600   8.0143611  4.086  4.927  5.028
SDSSJ084631.52+241108.3  131.63133   24.185639  3.845  4.646  4.742
SDSSJ085430.37+205650.8  133.62654   20.947444  4.214  5.076  5.179
SDSSJ085707.94+321031.9  134.28308   32.175528  3.890  4.699  4.796
SDSSJ090100.61+472536.2  135.25254   47.426722  3.723  4.505  4.598
SDSSJ090245.76+085115.8  135.69067   8.8543889  4.253  5.122  5.226
SDSSJ090634.84+023433.8  136.64517   2.5760556  3.654  4.424  4.516
SDSSJ091316.55+591921.6  138.31896   59.322667  4.165  5.020  5.122
SDSSJ091543.63+492416.6  138.93179   49.404611  4.230  5.096  5.199
SDSSJ092216.81+265358.9  140.57004   26.899694  4.098  4.941  5.042
SDSSJ093523.31+411518.5  143.84712   41.255139  3.899  4.709  4.806
SDSSJ094056.01+584830.2  145.23337   58.808389  3.779  4.570  4.664
SDSSJ094108.36+594725.7  145.28483   59.790472  3.938  4.754  4.852
SDSSJ094409.52+100656.6  146.03967   10.115722  3.873  4.680  4.776
SDSSJ095632.03+321612.6  149.13346   32.270167  3.752  4.538  4.632
SDSSJ095707.67+061059.5  149.28196   6.1831944  4.203  5.064  5.167
SDSSJ100251.20+223135.1  150.71333   22.526417  3.861  4.665  4.761
SDSSJ100416.12+434739.0  151.06717   43.794167  3.954  4.774  4.872
SDSSJ100444.30+202520.0  151.18458   20.422222  4.133  4.983  5.084
SDSSJ101549.00+002020.0  153.95417   0.3388889  3.561  4.316  4.406
SDSSJ102332.07+633508.0  155.88362   63.585556  3.954  4.774  4.872
SDSSJ102622.87+471907.2  156.59529   47.318667  4.005  4.833  4.932
SDSSJ102623.61+254259.5  156.59838   25.716528  4.277  5.150  5.254
SDSSJ103418.65+203300.2  158.57771   20.550056  4.061  4.898  4.998
SDSSJ103601.03+500831.7  159.00429   50.142139  3.624  4.389  4.480
SDSSJ103711.04+313433.5  159.29600   31.575972  3.992  4.817  4.916
SDSSJ103919.28+344504.5  159.83033   34.751250  3.574  4.331  4.421
SDSSJ104041.09+162233.8  160.17121   16.376056  3.901  4.712  4.809
SDSSJ104325.55+404849.5  160.85646   40.813750  3.998  4.824  4.923
SDSSJ104351.19+650647.6  160.96329   65.113222  3.654  4.424  4.516
SDSSJ105020.40+262002.3  162.58500   26.333972  3.971  4.794  4.892
SDSSJ105036.46+580424.6  162.65192   58.073500  4.190  5.048  5.151
SDSSJ105322.98+580412.1  163.34575   58.070028  4.273  5.146  5.250
SDSSJ105445.43+163337.4  163.68929   16.560389  4.192  5.051  5.154
SDSSJ110045.23+112239.1  165.18846   11.377528  3.833  4.632  4.728
SDSSJ110134.36+053133.8  165.39317   5.5260556  4.100  4.944  5.045
SDSSJ111523.24+082918.4  168.84683   8.4884444  3.818  4.615  4.710
SDSSJ111741.26+261039.2  169.42192   26.177556  3.747  4.532  4.626
SDSSJ111920.64+345248.1  169.83600   34.880028  4.056  4.892  4.992
SDSSJ112253.50+005329.7  170.72292   0.8915833  3.713  4.493  4.586
SDSSJ112534.93+380149.3  171.39554   38.030361  3.730  4.513  4.606
SDSSJ112857.84+575909.8  172.24100   57.986056  4.056  4.892  4.992
SDSSJ113246.50+120901.6  173.19375   12.150444  4.214  5.077  5.180
SDSSJ114008.67+620530.0  175.03613   62.091667  3.660  4.431  4.523
SDSSJ114225.30+110217.3  175.60542   11.038139  3.722  4.503  4.596
SDSSJ114657.79+403708.6  176.74079   40.619056  4.059  4.896  4.996
SDSSJ114826.16+302019.3  177.10900   30.338694  4.170  5.026  5.128
SDSSJ114914.88+281308.7  177.31200   28.219083  3.688  4.463  4.556
SDSSJ115424.73+134145.7  178.60304   13.696028  4.113  4.959  5.060
SDSSJ115809.39+634252.8  179.53913   63.714667  3.623  4.388  4.479
SDSSJ120036.72+461850.2  180.15300   46.313944  3.844  4.645  4.741
SDSSJ120055.61+181732.9  180.23171   18.292472  4.058  4.895  4.995
SDSSJ120102.01+073648.1  180.25837   7.6133611  3.617  4.381  4.472
SDSSJ120110.31+211758.5  180.29296   21.299583  3.707  4.486  4.579
SDSSJ120131.56+053510.1  180.38150   5.5861389  3.927  4.743  4.840
SDSSJ120207.78+323538.8  180.53242   32.594111  4.314  5.193  5.298
SDSSJ120441.73-002149.6  181.17387  -0.3637778  4.142  4.992  5.094
SDSSJ120725.27+321530.4  181.85529   32.258444  3.743  4.527  4.621
SDSSJ120730.84+153338.1  181.87850   15.560583  3.600  4.361  4.452
SDSSJ120952.72+183147.2  182.46967   18.529778  4.170  5.025  5.127
SDSSJ121134.04+484235.9  182.89183   48.709972  3.678  4.452  4.544
SDSSJ121422.02+665707.5  183.59175   66.952083  3.767  4.556  4.650
SDSSJ122016.05+315253.0  185.06687   31.881389  3.978  4.802  4.900
SDSSJ122146.42+444528.0  185.44342   44.757778  4.234  5.100  5.203
SDSSJ122237.96+195842.9  185.65817   19.978583  4.164  5.018  5.120
SDSSJ123333.47+062234.2  188.38946   6.3761667  4.316  5.195  5.300
SDSSJ124247.91+521306.8  190.69962   52.218556  4.093  4.935  5.036
SDSSJ124400.04+553406.8  191.00017   55.568556  3.776  4.566  4.660
SDSSJ124515.46+382247.5  191.31442   38.379861  4.031  4.864  4.963
SDSSJ125025.40+183458.1  192.60583   18.582806  3.689  4.464  4.557
SDSSJ125353.35+104603.1  193.47229   10.767528  3.993  4.819  4.918
SDSSJ125718.02+374729.9  194.32508   37.791639  3.837  4.637  4.733
SDSSJ130002.16+011823.0  195.00900   1.3063889  3.741  4.525  4.619
SDSSJ130110.95+252738.3  195.29562   25.460639  3.781  4.572  4.666
SDSSJ130152.55+221012.1  195.46896   22.170028  3.898  4.708  4.805
SDSSJ130215.71+550553.5  195.56546   55.098194  3.608  4.370  4.461
SDSSJ130619.38+023658.9  196.58075   2.6163611  3.944  4.762  4.860
SDSSJ130917.12+165758.5  197.32133   16.966250  3.821  4.619  4.714
SDSSJ131234.08+230716.3  198.14200   23.121194  4.029  4.861  4.960
SDSSJ132512.49+112329.7  201.30204   11.391583  3.566  4.322  4.412
SDSSJ133203.86+553105.0  203.01608   55.518056  3.841  4.641  4.737
SDSSJ133250.08+465108.6  203.20867   46.852389  3.931  4.747  4.844
SDSSJ133412.56+122020.7  203.55233   12.339083  4.172  5.028  5.130
SDSSJ133728.81+415539.8  204.37004   41.927722  4.078  4.918  5.018
SDSSJ134015.03+392630.7  205.06262   39.441861  4.103  4.947  5.048
SDSSJ134040.24+281328.1  205.16767   28.224472  4.357  5.243  5.349
SDSSJ134134.19+014157.7  205.39246   1.6993611  3.806  4.601  4.696
SDSSJ134141.45+461110.3  205.42271   46.186194  4.065  4.903  5.003
SDSSJ134154.01+351005.6  205.47504   35.168222  4.275  5.148  5.252
SDSSJ134743.29+495621.3  206.93038   49.939250  3.694  4.470  4.563
SDSSJ134819.87+181925.8  207.08279   18.323833  4.024  4.855  4.954
SDSSJ140146.53+024434.7  210.44387   2.7429722  3.569  4.325  4.415
SDSSJ140404.63+031403.9  211.01929   3.2344167  3.998  4.825  4.924
SDSSJ140503.29+334149.8  211.26371   33.697167  3.613  4.376  4.467
SDSSJ141209.96+062406.9  213.04150   6.4019167  3.566  4.321  4.411
SDSSJ141914.18-015012.6  214.80908  -1.8368333  3.717  4.497  4.590
SDSSJ142025.75+615510.0  215.10729   61.919444  3.597  4.357  4.448
SDSSJ142144.98+351315.4  215.43742   35.220944  3.724  4.506  4.599
SDSSJ142325.92+130300.6  215.85800   13.050167  4.103  4.947  5.048
SDSSJ142526.09+082718.4  216.35871   8.4551111  4.025  4.856  4.955
SDSSJ142705.86+330817.9  216.77442   33.138306  3.812  4.608  4.703
SDSSJ143352.21+022713.9  218.46754   2.4538611  3.834  4.633  4.729
SDSSJ143605.00+213239.2  219.02083   21.544222  4.254  5.123  5.227
SDSSJ143629.94+063508.0  219.12475   6.5855556  3.917  4.731  4.828
SDSSJ143751.82+232313.3  219.46592   23.387028  4.332  5.215  5.320
SDSSJ143835.95+431459.2  219.64979   43.249778  3.798  4.591  4.686
SDSSJ143850.48+055622.6  219.71033   5.9396111  3.587  4.346  4.437
SDSSJ144331.17+272436.7  220.87988   27.410194  3.576  4.334  4.424
SDSSJ144407.63-010152.7  221.03179  -1.0313056  3.666  4.438  4.530
SDSSJ144717.97+040112.4  221.82487   4.0201111  3.708  4.487  4.580
SDSSJ145107.93+025615.6  222.78304   2.9376667  3.626  4.392  4.483
