# z Dz sumDX nabs lx bmlxlci_68.3 bmlxhci_68.3 bmlxlci_95.0 bmlxhci_95.0 Omega bmOlci_68.3 bmOhci_68.3 bmOlci_95.0 bmOhci_95.0
2.150 0.831 965 62 0.064 0.056 0.072 0.049 0.081 0.543 0.506 0.753 0.432 0.983
2.160 0.831 997 64 0.064 0.056 0.072 0.049 0.081 0.530 0.494 0.729 0.422 0.948
2.170 0.830 1023 66 0.064 0.057 0.072 0.050 0.081 0.527 0.489 0.727 0.422 0.940
2.180 0.827 1094 68 0.062 0.055 0.070 0.048 0.078 0.532 0.495 0.721 0.425 0.917
2.190 0.826 1140 68 0.060 0.052 0.067 0.046 0.075 0.511 0.476 0.695 0.407 0.885
2.200 0.824 1219 72 0.059 0.052 0.066 0.046 0.073 0.507 0.479 0.689 0.413 0.857
2.210 0.823 1271 78 0.061 0.054 0.068 0.048 0.076 0.504 0.477 0.682 0.414 0.848
2.220 0.821 1317 81 0.061 0.055 0.068 0.049 0.076 0.504 0.481 0.682 0.418 0.849
2.230 0.820 1376 85 0.062 0.055 0.068 0.049 0.076 0.502 0.480 0.672 0.421 0.837
2.240 0.818 1421 85 0.060 0.053 0.066 0.048 0.073 0.486 0.465 0.650 0.409 0.807
2.250 0.816 1512 90 0.060 0.053 0.066 0.048 0.072 0.488 0.467 0.643 0.406 0.788
2.260 0.815 1541 93 0.060 0.054 0.067 0.049 0.073 0.486 0.462 0.635 0.402 0.768
2.270 0.813 1582 94 0.059 0.053 0.065 0.048 0.072 0.475 0.455 0.629 0.398 0.776
2.280 0.811 1646 97 0.059 0.053 0.065 0.048 0.071 0.466 0.447 0.614 0.390 0.746
2.290 0.810 1692 100 0.059 0.053 0.065 0.048 0.071 0.462 0.445 0.606 0.391 0.734
2.300 0.808 1774 107 0.060 0.055 0.066 0.049 0.072 0.478 0.465 0.628 0.411 0.752
2.310 0.807 1791 107 0.060 0.054 0.065 0.049 0.072 0.473 0.457 0.612 0.405 0.732
2.320 0.805 1874 109 0.058 0.053 0.064 0.048 0.070 0.460 0.447 0.600 0.395 0.715
2.330 0.803 1950 113 0.058 0.053 0.063 0.048 0.069 0.475 0.463 0.615 0.409 0.730
2.340 0.801 2003 114 0.057 0.052 0.062 0.047 0.068 0.463 0.449 0.597 0.398 0.710
2.350 0.799 2087 116 0.056 0.050 0.061 0.046 0.066 0.455 0.447 0.592 0.397 0.704
2.360 0.798 2129 119 0.056 0.051 0.061 0.046 0.066 0.441 0.431 0.569 0.384 0.674
2.370 0.795 2220 126 0.057 0.052 0.062 0.047 0.067 0.444 0.432 0.568 0.385 0.670
2.380 0.794 2262 130 0.057 0.052 0.062 0.048 0.068 0.463 0.452 0.587 0.402 0.682
2.390 0.791 2349 141 0.060 0.055 0.065 0.051 0.070 0.496 0.482 0.622 0.433 0.719
2.400 0.791 2368 142 0.060 0.055 0.065 0.051 0.070 0.493 0.481 0.613 0.430 0.700
2.410 0.788 2488 151 0.061 0.056 0.066 0.051 0.071 0.495 0.482 0.610 0.432 0.701
2.420 0.787 2552 154 0.060 0.056 0.065 0.051 0.070 0.487 0.477 0.603 0.430 0.687
2.430 0.785 2609 153 0.059 0.054 0.063 0.050 0.068 0.473 0.464 0.591 0.418 0.678
2.440 0.783 2714 163 0.060 0.055 0.065 0.051 0.070 0.481 0.471 0.595 0.427 0.677
2.450 0.780 2820 177 0.063 0.058 0.067 0.054 0.072 0.494 0.486 0.605 0.440 0.690
2.460 0.778 2914 183 0.063 0.058 0.067 0.054 0.072 0.513 0.504 0.627 0.458 0.703
2.470 0.776 2982 186 0.062 0.058 0.067 0.054 0.072 0.507 0.498 0.617 0.453 0.694
2.480 0.775 3058 187 0.061 0.057 0.066 0.053 0.070 0.497 0.491 0.608 0.448 0.686
2.490 0.773 3133 191 0.061 0.057 0.065 0.053 0.070 0.490 0.484 0.598 0.439 0.674
2.500 0.770 3284 197 0.060 0.056 0.064 0.052 0.069 0.485 0.481 0.589 0.439 0.660
2.510 0.770 3291 197 0.060 0.056 0.064 0.052 0.068 0.484 0.478 0.589 0.436 0.663
2.520 0.768 3410 206 0.060 0.056 0.065 0.052 0.069 0.481 0.477 0.583 0.437 0.650
2.530 0.766 3501 212 0.061 0.056 0.065 0.053 0.069 0.483 0.482 0.586 0.442 0.656
2.540 0.763 3614 221 0.061 0.057 0.065 0.053 0.069 0.487 0.483 0.588 0.443 0.652
2.550 0.762 3692 225 0.061 0.057 0.065 0.053 0.069 0.474 0.473 0.569 0.435 0.628
2.560 0.758 3864 232 0.060 0.056 0.064 0.053 0.068 0.468 0.468 0.560 0.431 0.617
