QSO_ID QSO_RA QSO_DEC Z_EM R1_ZMIN R1_ZMAX R2_ZMIN R2_ZMAX
B0002+0507 1.33416665 5.40311098 1.9 1.47 1.871 1.47 1.871
B0002-4214 1.20083332 -41.95777893 2.76 2.301 2.594 2.301 2.594
B0003+1553 1.49675 16.16363907 0.45 0.33 0.435 0.289 0.435
B0058+0155 15.22541618 2.19361115 1.954 1.035 1.535 0.824 1.535
B0107-0235 17.5547924 -2.33166671 0.948 0.793 0.929 0.78 0.929
B0119-0437 20.61624908 -4.3577776 1.925 1.47 1.896 1.47 1.896
B0122-0021 21.37041664 -0.0990278 1.07 0.82 1.049 0.791 1.049
B0143-0135 26.46333313 -1.34194446 3.124 1.612 2.593 1.612 2.593
B0150-2015 28.1137085 -20.01866722 2.139 1.474 2.108 1.474 2.108
B0207-3953 32.36916733 -39.66110992 2.813 2.48 2.593 2.48 2.593
B0219+4248 35.66508484 43.0355835 0.444 -99.0 -99.0 0.331 0.43
B0254-3327b 44.17750168 -33.25627899 1.915 1.583 1.886 1.474 1.886
B0421+0157 66.03583527 2.07361102 2.044 1.473 2.014 1.473 2.014
B0424-1309 66.77999878 -13.04833317 2.159 2.036 2.127 2.036 2.127
B0453-4220 73.84583282 -42.27138901 2.66 2.303 2.593 2.303 2.593
B0454+0356 74.19654083 4.0146389 1.345 0.858 1.322 0.858 1.322
B0454-2203 74.03708649 -21.98594475 0.534 0.473 0.519 0.473 0.519
B0624+6907 97.51125336 69.08444214 0.374 0.329 0.36 0.311 0.36
B0933+7315 144.45333862 73.03277588 2.528 2.332 2.493 2.332 2.493
B0935+4141 144.73750305 41.47258377 1.937 1.465 1.908 1.465 1.908
B0953+5454 149.31124878 54.67139053 2.584 2.51 2.548 2.51 2.548
B0954+5537 149.40899658 55.38269424 0.909 0.844 0.89 0.803 0.89
B0955+3238 149.5874939 32.40061188 0.533 0.523 0.518 0.331 0.518
B1001+2910 151.01083374 28.92638969 0.329 0.286 0.316 0.286 0.316
B1017+2759 154.98596191 27.73369408 1.928 1.502 1.899 1.473 1.899
B1047+5503 162.69082642 54.78861237 2.165 1.637 2.133 1.464 2.133
B1100+7715 166.05792236 76.98283386 0.311 0.302 0.298 0.283 0.298
B1100-2629 165.85525513 -26.7543602 2.145 1.838 2.114 1.838 2.114
B1104-1805a 166.6395874 -18.35666656 2.303 1.662 2.27 1.662 2.27
B1115+0802a2 169.57058716 7.76636124 1.722 1.471 1.695 1.471 1.695
B1146+1103e 177.17500305 10.78583336 1.1 0.813 1.079 0.795 1.079
B1146+1104b 177.18458557 10.79916668 1.01 0.852 0.99 0.82 0.99
B1148+5454 177.8351593 54.6257782 0.978 0.36 0.958 0.33 0.958
B1216+0655 184.83708191 6.64400005 0.334 0.309 0.321 0.284 0.321
B1222+2251 186.36412048 22.58694458 2.046 1.174 1.535 1.174 1.535
B1225+3145 187.10383606 31.47697258 2.219 1.796 2.187 1.796 2.187
B1247+2647 192.52388 26.51874924 2.043 1.47 2.013 1.47 2.013
B1248+3142 192.70966917 31.43160694 1.02 0.782 1.0 0.771 1.0
B1248+4007 192.70124817 39.86100006 1.03 0.773 1.01 0.773 1.01
B1249+2929 193.10417175 29.22249985 0.82 0.775 0.802 0.775 0.802
B1259+5918 195.30375671 59.03525162 0.472 0.297 0.457 0.28 0.457
B1320+2925 200.8354187 29.16861153 0.96 0.841 0.94 0.794 0.94
B1328+3045 202.7845459 30.5091114 0.849 0.79 0.831 0.78 0.831
B1329+4117 202.92124939 41.03305435 1.93 1.283 1.901 1.283 1.901
B1334-0033 204.19638062 -0.81602782 2.783 0.803 2.594 0.552 2.594
B1435+6349 219.19070435 63.61058426 2.068 1.938 2.037 1.938 2.037
B1517+2356 229.83108521 23.76758385 1.903 1.725 1.874 0.82 1.874
