QSO_ID Z_EM Z_LLS TAU TAU_ERR LOG_NHI LOG_NHI_ERR_LOW LOG_NHI_ERR_HIGH SAMPLE INSTRUMENT
B0002-4214 2.76 2.301 4.06 -99.0 17.81 -99.0 -99.0 R1,R2 FOS-H
J0012-0122 1.998 1.727 1.7 0.08 17.44 0.02 0.01 R1 STIS
J0012-0122 1.998 1.387 2.33 -99.0 17.57 -99.0 -99.0 MgII STIS
J0021+0043 1.243 0.943 2.97 -99.0 17.67 -99.0 -99.0 MgII STIS
J0021+0104 1.829 1.576 2.47 -99.0 17.59 -99.0 -99.0 MgII STIS
J0021-0128A 1.588 1.499 0.96 0.07 17.19 0.04 0.03 PLLS STIS
J0021-0128A 1.588 1.409 1.16 0.13 17.27 0.06 0.04 R1 STIS
J0021-0128A 1.588 1.243 2.01 -99.0 17.5 -99.0 -99.0 R2 STIS
J0038-3504 1.519 1.517 0.87 0.04 17.14 0.02 0.02 PLLS,Prox STIS
J0038-3504 1.519 1.114 0.22 0.08 16.55 0.2 0.14 PLLS STIS
J0039-3528 0.836 0.838 1.84 -99.0 17.47 -99.0 -99.0 Prox STIS
J0043-2622 3.053 1.880 1.38 0.15 17.34 0.05 0.05 R1 STIS
J0043-2622 3.053 1.384 1.71 -99.0 17.43 -99.0 -99.0 LQ STIS
B0058+0155 1.954 1.463 0.77 0.05 17.09 0.03 0.03 PLLS FOS-H
J0102-0853 1.682 1.185 2.49 -99.0 17.6 -99.0 -99.0 R1,R2 STIS
J0106+0105 1.611 1.356 2.68 -99.0 17.63 -99.0 -99.0 MgII STIS
J0109-2307 0.818 0.821 1.72 -99.0 17.44 -99.0 -99.0 Prox STIS
J0116-0043 1.263 0.915 1.89 -99.0 17.48 -99.0 -99.0 MgII STIS
B0119-0437 1.925 1.964 1.81 0.04 17.46 0.01 0.01 Prox FOS-H
J0120+2133 1.5 1.327 1.58 0.06 17.4 0.01 0.02 R1 FOS-L
J0120+2133 1.5 1.050 2.61 0.31 17.62 0.05 0.05 R2 FOS-L
J0123-0058 1.55 1.412 2.79 -99.0 17.65 -99.0 -99.0 MgII STIS
J0126-0105 1.609 1.193 2.73 -99.0 17.64 -99.0 -99.0 MgII STIS
J0134+0051 1.522 1.449 1.07 0.09 17.23 0.04 0.04 R1 STIS
J0134+0051 1.522 1.274 1.81 -99.0 17.46 -99.0 -99.0 LQ STIS
J0138-0005 1.34 1.342 0.64 0.1 17.01 0.07 0.06 PLLS,Prox STIS
