nu			f_nu
3.53174626156e+14 5.19558271016e-15
3.53255901808e+14 5.17549280286e-15
3.53337298165e+14 5.32149863875e-15
3.5341860705e+14 5.35067549107e-15
3.53500078413e+14 5.16340365253e-15
3.53581462241e+14 4.80805060129e-15
3.5366288355e+14 4.54431986497e-15
3.53744300627e+14 4.78753541001e-15
3.53825755197e+14 5.09893511354e-15
3.53907247289e+14 5.32967232415e-15
3.53988776927e+14 5.34076698143e-15
3.54070302321e+14 5.27514633764e-15
3.54151823438e+14 5.31740192626e-15
3.54233340246e+14 5.20754748963e-15
3.54314936464e+14 4.76745912497e-15
3.54396528387e+14 4.53832518562e-15
3.54478157897e+14 4.55215073016e-15
3.54559783086e+14 4.56356081576e-15
3.54641445876e+14 4.56779102834e-15
3.54723104319e+14 4.95771220818e-15
3.54804800376e+14 5.09901381419e-15
3.54886450052e+14 5.18531991718e-15
3.54968221375e+14 5.00322831996e-15
3.55049946291e+14 4.67470079467e-15
3.55131666779e+14 4.7217645771e-15
3.55213551157e+14 5.22484761883e-15
3.55295304876e+14 5.09663295179e-15
3.55377138362e+14 4.96616594344e-15
3.55458967407e+14 4.55873154235e-15
3.55540834145e+14 4.45834570688e-15
3.55622696416e+14 5.08276229741e-15
3.55704596393e+14 4.61053131195e-15
3.55786491878e+14 4.5399205455e-15
3.55868425082e+14 4.73514531671e-15
3.55950396031e+14 4.69062866446e-15
3.5603236247e+14 4.57860027872e-15
3.56114324364e+14 4.69414270073e-15
3.56196324004e+14 4.45076266284e-15
3.56278361416e+14 4.49050967738e-15
3.56360436625e+14 4.57161726537e-15
3.56442464899e+14 4.49182766971e-15
3.56524573343e+14 4.29035621943e-15
3.56606634787e+14 4.23912421604e-15
3.56688818892e+14 4.57174197479e-15
3.56770955971e+14 4.45077926983e-15
3.5685308841e+14 4.02905541619e-15
3.56935258673e+14 4.05469115851e-15
3.57017466787e+14 4.3549634524e-15
3.57099712776e+14 4.34860985763e-15
3.57181911557e+14 4.53893014449e-15
3.57264190764e+14 4.2723398472e-15
3.57346465292e+14 4.19307962282e-15
3.57428735108e+14 4.39027394826e-15
3.57511042814e+14 4.47443239058e-15
3.57593431089e+14 4.288258492e-15
3.57675686652e+14 4.44872727769e-15
3.57758065452e+14 4.707654909e-15
3.57840482206e+14 4.64484594404e-15
3.57922851478e+14 4.51171291194e-15
3.5800530143e+14 4.4326260998e-15
3.58087746605e+14 4.39931072392e-15
3.58170229762e+14 4.75370134646e-15
3.58252665303e+14 5.30561310201e-15
3.58335224462e+14 5.07653385795e-15
3.58417735979e+14 4.60086660975e-15
3.58500242634e+14 4.72420240157e-15
3.58582830172e+14 5.0192083477e-15
3.58665369951e+14 4.80935704294e-15
3.58747947738e+14 4.86587812176e-15
3.58830606507e+14 5.03438060627e-15
3.58913260407e+14 5.2412065279e-15
3.58995866414e+14 5.06078149141e-15
3.59078553464e+14 4.53909529585e-15
3.59161235584e+14 3.22350129719e-15
3.59243912742e+14 3.42846046924e-15
3.5932667104e+14 3.27712458449e-15
3.59409424389e+14 3.2945985273e-15
3.59492215862e+14 3.38413842499e-15
3.5957500236e+14 3.50031218278e-15
3.59657783848e+14 3.54901984681e-15
3.59740646628e+14 3.74860236383e-15
3.59823504411e+14 3.271446347e-15
3.59906313958e+14 3.3433895468e-15
3.59989204855e+14 3.47206477838e-15
3.60072133943e+14 3.21819878023e-15
3.60155014714e+14 3.50667725858e-15
3.60237976935e+14 3.41396486318e-15
3.60320934079e+14 3.20908056199e-15
3.60403929439e+14 3.49136648434e-15
3.60486919695e+14 3.41150593831e-15
3.60569904813e+14 3.23926334847e-15
3.60652928147e+14 3.3432612675e-15
3.60735946316e+14 3.48872979927e-15
3.6081904614e+14 3.34553856223e-15
3.60902140813e+14 3.37666711495e-15
