QSO QSOlong RA DEC zQSO CoordString
J0012-1022 001224.01-102226.5 3.1001 -10.374 0.228 001224.02-102226.40
J0809+4619 080908.13+461925.6 122.2839 46.3238 0.657 080908.14+461925.68
J0826+0742 082633.51+074248.3 126.6396 7.7134 0.311 082633.50+074248.24
J0843+4117 084349.49+411741.6 130.9562 41.2949 0.99 084349.49+411741.64
J0912+2957 091235.42+295725.4 138.1476 29.9571 0.305 091235.42+295725.56
J0925+4535 092554.43+453544.4 141.4768 45.5957 0.329 092554.43+453544.52
J0929+4644 092909.79+464424.0 142.2908 46.74 0.24 092909.79+464424.00
J0946+4711 094621.26+471131.3 146.5886 47.192 0.23 094621.26+471131.20
J0947+1005 094733.21+100508.7 146.8884 10.0858 0.139 094733.22+100508.88
J0949+3902 094952.91+390203.9 147.4705 39.0344 0.365 094952.92+390203.84
J1001+5944 100102.55+594414.3 150.2606 59.7373 0.746 100102.54+594414.28
PG1049-005 PG1049-005 162.9643 -0.8549 0.359 105151.43-005117.64
J1059+1441 105945.23+144142.9 164.9385 14.6953 0.631 105945.24+144143.08
J1059+2517 105958.82+251708.8 164.9951 25.2858 0.662 105958.82+251708.88
J1103+4141 110312.93+414154.9 165.8039 41.6986 0.402 110312.94+414154.96
J1104+3141 110406.94+314111.4 166.0289 31.6865 0.434 110406.94+314111.40
J1117+2634 111754.31+263416.6 169.4763 26.5713 0.421 111754.31+263416.68
J1121+0325 112114.22+032546.7 170.3092 3.4297 0.152 112114.21+032546.92
PG1202+281 PG1202+281 181.1754 27.9033 0.165 120442.10+275411.88
J1207+2624 120720.99+262429.1 181.8375 26.4081 0.324 120721.00+262429.16
J1211+3657 121114.56+365739.5 182.8107 36.961 0.171 121114.57+365739.60
J1327+4435 132704.13+443505.0 201.7672 44.5847 0.331 132704.13+443504.92
J1342+0505 134206.56+050523.8 205.5274 5.09 0.266 134206.58+050524.00
J1342+3829 134231.22+382903.4 205.6301 38.4843 0.172 134231.22+382903.48
J1451+2709 145108.76+270926.9 222.7865 27.1575 0.064 145108.76+270927.00
J1521+0337 152139.66+033729.2 230.4153 3.6248 0.126 152139.67+033729.28
J1356+2515 135625.55+251523.7 209.1065 25.2566 0.164 135625.56+251523.76
J1545+0936 154553.48+093620.5 236.4729 9.6057 0.665 154553.50+093620.52
J1210+3157 121037.56+315706.0 182.6565 31.9517 0.389 121037.56+315706.12
J0155-0857 015530.02-085704.0 28.8751 -8.9511 0.165 015530.02-085703.96
J0259+0037 025937.46+003736.3 44.9061 0.6268 0.534 025937.46+003736.48
J0959+0503 095915.65+050355.1 149.8152 5.0653 0.162 095915.65+050355.08
J1342+1844 134246.89+184443.6 205.6954 18.7455 0.383 134246.90+184443.80
J0310-0049 031027.82-004950.7 47.6159 -0.8308 0.08 031027.82-004950.88
J0242-0759 024250.85-075914.2 40.7119 -7.9873 0.377 024250.86-075914.28
J1357+1704 135712.61+170444.1 209.3026 17.0789 0.15 135712.62+170444.04
J0212-0737 021218.32-073719.8 33.0764 -7.6222 0.174 021218.34-073719.92
J1122+5755 112244.89+575543.0 170.687 57.9286 0.906 112244.88+575542.96
J1330+3119 133053.27+311930.5 202.722 31.3252 0.242 133053.28+311930.72
J1134+2555 113457.62+255527.9 173.7401 25.9244 0.71 113457.62+255527.84
J1236+2641 123604.02+264135.9 189.0168 26.6933 0.209 123604.03+264135.88
J0042-1037 J004222.29-103743.8 10.59288 -10.62883 0.424 004222.29-103743.79
J0226+0015 J022614.46+001529.7 36.56028 0.25827 0.615 022614.47+001529.77
J0401-0540 J040148.98-054056.5 60.45409 -5.68238 0.57 040148.98-054056.57
J0803+4332 J080359.23+433258.4 120.9968 43.54956 0.449 080359.23+433258.42
J0820+2334 J082024.21+233450.4 125.10091 23.58069 0.47 082024.22+233450.48
J0910+1014 J091029.75+101413.6 137.62399 10.23711 0.463 091029.76+101413.60
J0914+2823 J091440.38+282330.6 138.66829 28.39184 0.735 091440.39+282330.62
J0925+4004 J092554.70+400414.1 141.47794 40.07059 0.471 092554.71+400414.12
J0928+6025 J092837.98+602521.0 142.15826 60.4225 0.296 092837.98+602521.00
J0935+0204 J093518.19+020415.5 143.82581 2.07098 0.649 093518.19+020415.53
J0943+0531 J094331.61+053131.4 145.88173 5.52541 0.564 094331.62+053131.48
J0950+4831 J095000.73+483129.3 147.50308 48.52483 0.589 095000.74+483129.39
J1009+0713 J100902.06+071343.8 152.25862 7.22885 0.456 100902.07+071343.86
J1016+4706 J101622.60+470643.3 154.09418 47.11204 0.822 101622.60+470643.34
J1022+0132 J102218.99+013218.8 155.57913 1.53856 0.789 102218.99+013218.82
J1112+3539 J111239.11+353928.2 168.16296 35.65784 0.636 111239.11+353928.22
J1133+0327 J113327.78+032719.1 173.36578 3.45533 0.525 113327.79+032719.19
J1157-0022 J115758.72-002220.8 179.49471 -0.37246 0.26 115758.73-002220.86
J1220+3853 J122035.10+385316.4 185.14627 38.8879 0.376 122035.10+385316.44
J1233+4758 J123335.07+475800.4 188.39616 47.9668 0.382 123335.08+475800.48
J1233-0031 J123304.05-003134.1 188.26688 -0.52616 0.471 123304.05-003134.18
J1241+5721 J124154.02+572107.3 190.4751 57.35205 0.583 124154.02+572107.38
J1245+3356 J124511.25+335610.1 191.29692 33.93615 0.711 124511.26+335610.14
J1322+4645 J132222.68+464535.2 200.5945 46.75978 0.375 132222.68+464535.21
J1330+2813 J133045.15+281321.4 202.68814 28.22264 0.417 133045.15+281321.50
J1342-0053 J134251.60-005345.3 205.71503 -0.89592 0.326 134251.61-005345.31
J1419+4207 J141910.20+420746.9 214.79251 42.1297 0.873 141910.20+420746.92
J1435+3604 J143511.53+360437.2 218.79805 36.07701 0.429 143511.53+360437.24
J1437+5045 J143726.14+504555.8 219.35892 50.76551 0.783 143726.14+504555.84
J1445+3428 J144511.28+342825.4 221.29701 34.47374 0.697 144511.28+342825.46
J1514+3619 J151428.64+361957.9 228.61937 36.33277 0.695 151428.65+361957.97
J1550+4001 J155048.29+400144.9 237.70123 40.02914 0.497 155048.30+400144.90
J1553+3548 J155304.92+354828.6 238.27052 35.80795 0.722 155304.92+354828.62
J1555+3628 J155504.39+362848.0 238.76833 36.48001 0.714 155504.40+362848.04
J1616+4154 J161649.42+415416.3 244.20593 41.90455 0.44 161649.42+415416.38
J1617+0638 J161711.42+063833.4 244.29759 6.64264 0.229 161711.42+063833.50
J1619+3342 J161916.54+334238.4 244.81894 33.71067 0.471 161916.55+334238.41
J2257+1340 J225738.20+134045.4 344.40918 13.6793 0.594 225738.20+134045.48
J2345-0059 J234500.43-005936.0 356.2518 -0.99335 0.789 234500.43-005936.06
phl1377 "PHL 1337" 38.7807708 -4.0349083 1.437368 023507.38-040205.67
fbqs0751 "FBQS 0751+2919" 117.801279 29.327322 0.914861 075112.31+291938.36
pg1148 PG1148+549 177.835255 54.625855 0.975414 115120.46+543733.08
pg1206 PG1206+459 182.241714 45.67652 1.16254 120858.01+454035.47
pg1338+416 PG1338+416 205.253263 41.387244 1.21422 134100.78+412314.08
pg1407+265 PG1407+265 212.349634 26.30586 0.94 140923.91+261821.10
