### Table 1 
### Voigt profile fitting measurements by absorber component 
### 
### NULL values: 9999 
### 
### Flags: 
### 0: unsaturated, 1: mildly saturated, 3: heavily saturated (lower limit reported for column density), -99: nondetection (upper limit on column density) 
### 
### Columns: 
QSO|z_abs|ion|log_N|log_N_err|b_dop|b_dop_err|vel|vel_err|flag 
J0155-0857|0.00547|C IV|13.78|0.07|34|9|-38|6|0 
J0155-0857|0.00547|C IV|13.02|0.32|16|19|27|11|0 
J0155-0857|0.00547|H I|14.35|9999|9999|9999|9999|9999|3 
J0155-0857|0.05416|C IV|13.75|0.29|7|5|40|2|0 
J0155-0857|0.05416|H I|14.15|9999|9999|9999|9999|9999|3 
J0242-0759|0.00477|C IV|13.81|0.08|39|10|-23|6|0 
J0242-0759|0.00477|H I|14.42|9999|9999|9999|9999|9999|3 
J0242-0759|0.00477|H I|13.79|0.12|22|7|-148|5|0 
J0242-0759|0.00477|Si IV|13.04|0.07|30|8|-6|5|0 
J0925+4004|0.00261|C IV|14.19|0.07|34|6|9|4|0 
J0925+4004|0.00261|H I|14.13|9999|9999|9999|9999|9999|3 
J0928+6025|0.01494|C IV|13.77|0.03|25|3|-23|2|0 
J0928+6025|0.01494|H I|14.19|9999|9999|9999|9999|9999|-99 
J0950+4831|0.08049|C IV|14.08|0.12|22|6|-8|4|0 
J0950+4831|0.08049|H I|13.84|0.06|26|4|-26|3|0 
J1001+5944|0.15037|C II|13.41|0.12|29|13|-29|8|0 
J1001+5944|0.15037|C IV|14.25|0.40|9|3|-16|2|1 
J1001+5944|0.15037|H I|14.30|9999|9999|9999|9999|9999|3 
J1001+5944|0.15037|N V|13.59|0.16|6|3|-6|1|0 
J1001+5944|0.15037|Si III|12.47|0.08|22|7|6|4|0 
J1009+0713|0.05860|C II|13.79|0.09|13|5|7|3|0 
J1009+0713|0.05860|C IV|14.08|0.10|29|7|-1|5|0 
J1009+0713|0.05860|H I|14.61|9999|9999|9999|9999|9999|3 
J1009+0713|0.05860|Si II|13.59|0.21|16|14|-14|8|0 
J1009+0713|0.05860|Si III|13.37|0.29|18|7|4|4|1 
J1009+0713|0.05860|Si IV|13.09|0.09|16|6|9|4|0 
J1009+0713|0.11401|C II|14.61|9999|9999|9999|9999|9999|3 
J1009+0713|0.11401|C IV|13.57|0.29|9|10|37|5|0 
J1009+0713|0.11401|C IV|13.86|0.17|52|26|-32|18|0 
J1009+0713|0.11401|Fe II|14.82|0.46|23|12|-6|7|1 
J1009+0713|0.11401|H I|20.71|0.01|9999|9999|-23|14|1 
J1009+0713|0.11401|N I|14.24|9999|9999|9999|9999|9999|3 
J1009+0713|0.11401|Si II|14.22|9999|9999|9999|9999|9999|3 
J1009+0713|0.11401|Si III|13.42|9999|9999|9999|9999|9999|3 
J1059+1441|0.00242|C II|13.46|0.11|10|6|-18|3|0 
J1059+1441|0.00242|C IV|14.06|0.04|20|2|-6|1|0 
J1059+1441|0.00242|H I|14.15|9999|9999|9999|9999|9999|3 
J1059+1441|0.13291|C IV|13.57|0.11|42|14|10|10|0 
J1059+1441|0.13291|H I|14.93|9999|9999|9999|9999|9999|3 
J1059+1441|0.13291|O VI|14.26|0.04|72|9|36|7|0 
J1059+2517|0.07884|C II|13.97|0.05|51|7|5|5|0 
J1059+2517|0.07884|C IV|13.48|0.22|9|8|-21|4|0 
J1059+2517|0.07884|C IV|13.87|0.14|35|16|32|9|0 
J1059+2517|0.07884|H I|14.55|9999|9999|9999|9999|9999|3 
J1059+2517|0.07884|Si IV|13.38|0.05|53|8|11|5|0 
J1059+2517|0.11884|C II|13.59|0.10|22|9|-3|5|0 
J1059+2517|0.11884|C IV|14.16|0.06|25|3|-8|2|0 
J1059+2517|0.11884|H I|14.43|0.13|38|4|-33|3|1 
J1059+2517|0.11884|O VI|13.95|0.11|37|13|-10|9|0 
J1059+2517|0.11884|Si III|12.91|0.06|23|4|-28|3|0 
J1104+3141|0.06223|C IV|14.28|0.09|18|2|-24|2|0 
J1104+3141|0.06223|H I|14.25|9999|9999|9999|9999|9999|3 
J1104+3141|0.06223|H I|13.53|0.09|36|9|-137|7|0 
J1112+3539|0.01726|C IV|14.05|0.10|44|11|-8|0|0 
J1112+3539|0.01726|C IV|13.68|0.50|9999|9999|-34|7|0 
J1112+3539|0.01726|H I|13.48|0.27|10|6|-49|3|0 
J1112+3539|0.01726|H I|13.36|0.13|16|8|13|5|0 
J1112+3539|0.01726|H I|13.15|0.18|35|21|144|14|0 
J1117+2634|0.04758|C II|14.05|0.08|20|5|-71|4|0 
J1117+2634|0.04758|C II|14.51|0.19|15|4|-25|2|0 
