z       Raw      s(Raw)    Corr     s(Corr)   F        s(F)
2.15    1.0000   0.0000    1.0000   0.0000    0.8806   0.0103
2.25    0.9750   0.0035    0.9755   0.0035    0.8590   0.0098
2.35    0.9421   0.0044    0.9431   0.0044    0.8304   0.0093
2.45    0.9034   0.0046    0.9049   0.0046    0.7968   0.0089
2.55    0.8849   0.0049    0.8869   0.0049    0.7810   0.0090
2.65    0.8543   0.0045    0.8568   0.0045    0.7545   0.0088
2.75    0.8341   0.0044    0.8371   0.0044    0.7371   0.0088
2.85    0.8104   0.0044    0.8139   0.0044    0.7167   0.0086
2.95    0.7871   0.0045    0.7911   0.0045    0.6966   0.0084
3.05    0.7530   0.0045    0.7574   0.0045    0.6670   0.0082
3.15    0.7203   0.0044    0.7252   0.0044    0.6385   0.0080
3.25    0.6797   0.0047    0.6849   0.0047    0.6031   0.0079
3.35    0.6487   0.0047    0.6543   0.0047    0.5762   0.0074
3.45    0.6241   0.0045    0.6301   0.0045    0.5548   0.0071
3.55    0.5983   0.0046    0.6047   0.0047    0.5325   0.0071
3.65    0.5604   0.0050    0.5669   0.0050    0.4992   0.0069
3.75    0.5295   0.0053    0.5363   0.0053    0.4723   0.0068
3.85    0.5006   0.0062    0.5076   0.0062    0.4470   0.0072
3.95    0.4759   0.0061    0.4832   0.0062    0.4255   0.0071
4.05    0.4502   0.0064    0.4576   0.0065    0.4030   0.0071
4.15    0.4177   0.0069    0.4252   0.0070    0.3744   0.0074
4.25    0.4003   0.0071    0.4081   0.0073    0.3593   0.0075
4.35    0.3828   0.0105    0.3908   0.0107    0.3441   0.0102
4.45    0.3572   0.0097    0.3652   0.0099    0.3216   0.0094
4.55    0.3337   0.0110    0.3417   0.0112    0.3009   0.0104
4.65    0.3190   0.0125    0.3272   0.0129    0.2881   0.0117
4.75    0.2674   0.0219    0.2747   0.0225    0.2419   0.0201
4.85    0.2456   0.0164    0.2527   0.0168    0.2225   0.0151
